LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
Uniorbit Technologies Private Limited,RE - 1,Portfolio - 1,50.19,,2026-01-06 16:06:53,Partial
Uniorbit Technologies Private Limited,1,1,50.19,,2026-01-06 16:06:53,Partial
Moneyview Limited,,Partner 1,320.22,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 2,399.26,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 3,1.0,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 4,797.45,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 5,3.0,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 6,0.08,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 7,1738.57,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 8,356.04,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 9,337.3,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 10,176.09,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 11,5.1,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 12,939.33,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 13,468.0,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 14,353.38,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 15,16.6,,2026-01-06 16:06:58,Partial
Moneyview Limited,,Partner 16,8.43,,2026-01-06 16:06:58,Partial
SaveIN Fintech Pvt Ltd,,Cohort 1,,,2026-01-06 16:07:05,Partial
SaveIN Fintech Pvt Ltd,,Cohort 2,,,2026-01-06 16:07:05,Partial
SaveIN Fintech Pvt Ltd,,Cohort 3,,,2026-01-06 16:07:05,Partial
SaveIN Fintech Pvt Ltd,,Cohort 4,,,2026-01-06 16:07:05,Partial
SaveIN Fintech Pvt Ltd,,Cohort 5,,,2026-01-06 16:07:05,Partial
SaveIN Fintech Pvt Ltd,,Cohort 6,,,2026-01-06 16:07:05,Partial
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 1,11.92,2025-10-31,2026-01-06 16:07:10,Completed
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 2,3.75,2025-10-31,2026-01-06 16:07:10,Completed
Smartcoin Financials Private Limited,,Portfolio 1,343.06,,2026-01-06 16:07:19,Partial
Smartcoin Financials Private Limited,,Portfolio 2,221.0,,2026-01-06 16:07:19,Partial
Smartcoin Financials Private Limited,,Portfolio 3,46.16,,2026-01-06 16:07:19,Partial
Smartcoin Financials Private Limited,,Portfolio 4,220.83,,2026-01-06 16:07:19,Partial
Smartcoin Financials Private Limited,,Grand Total,831.04,,2026-01-06 16:07:19,Partial
PhonePe Lending Services Private Limited,S.No,S.No,,,2026-01-06 16:07:20,Partial
PhonePe Lending Services Private Limited,1,1,1.0,2026-01-01,2026-01-06 16:07:20,Partial
PhonePe Lending Services Private Limited,2,2,2.0,2026-01-02,2026-01-06 16:07:20,Partial
PhonePe Lending Services Private Limited,3,3,3.0,2026-01-03,2026-01-06 16:07:20,Partial
OnionLife Private Limited,,Portfolio 1,26.64,,2026-01-06 16:07:23,Partial
OnionLife Private Limited,,Portfolio 2,5.54,,2026-01-06 16:07:23,Partial
OnionLife Private Limited,,Portfolio 3,4.45,,2026-01-06 16:07:23,Partial
OnionLife Private Limited,,Portfolio 4,3.0,,2026-01-06 16:07:23,Partial
OnionLife Private Limited,,Portfolio 5,2.77,,2026-01-06 16:07:23,Partial
OnionLife Private Limited,,Portfolio 6,2.26,,2026-01-06 16:07:23,Partial
OnionLife Private Limited,,Portfolio 7,1.82,,2026-01-06 16:07:23,Partial
OnionLife Private Limited,,Portfolio 8,0.01,,2026-01-06 16:07:23,Partial
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,,2026-01-06 16:07:24,Partial
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,,2026-01-06 16:07:24,Partial
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,,2026-01-06 16:07:24,Partial
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,,2026-01-06 16:07:24,Partial
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,,2026-01-06 16:07:24,Partial
OnEMI Technlology Solutions Limited,,Portfolio 2,379.85,,2026-01-06 16:07:24,Partial
OnEMI Technlology Solutions Limited,4,Portfolio 1,0.37,,2026-01-06 16:07:24,Partial
OnEMI Technlology Solutions Limited,4,7,1.0,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,1,Portfolio 1,154.63,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,52.43,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,2,-,,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,3,-,,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,4,Portfolio 1,1.3,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,2.99,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,,Portfolio 3,26.44,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,,Portfolio 4,21.43,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,,Portfolio 5,37.28,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,5,Portfolio 1,0.04,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,6,Portfolio 1,7.56,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,34.9,,2026-01-06 16:07:24,Partial
Si Creva Capital Services Private Limited,6,10,338.99,,2026-01-06 16:07:24,Partial
Shuhari Tech Ventures Private Limited,,,,,2026-01-06 16:07:25,Error
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,16.82,,2026-01-06 16:08:28,Partial
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,179.35,,2026-01-06 16:08:28,Partial
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,88.56,,2026-01-06 16:08:28,Partial
Revfin Services Pvt. Ltd.,,,72100.0,,2026-01-06 16:08:34,Partial
KrazyBee Services Limited,,Portfolio- 1,1.0,2025-12-31,2026-01-06 16:08:35,Completed
KrazyBee Services Limited,,Portfolio- 2,5.0,2025-12-31,2026-01-06 16:08:35,Completed
KrazyBee Services Limited,,Portfolio- 3,1.0,2025-12-31,2026-01-06 16:08:35,Completed
KrazyBee Services Limited,,Portfolio- 4,3.0,2025-12-31,2026-01-06 16:08:35,Completed
KrazyBee Services Limited,,Portfolio- 5,1.0,2025-12-31,2026-01-06 16:08:35,Completed
KrazyBee Services Limited,,Portfolio- 6,1.0,2025-12-31,2026-01-06 16:08:35,Completed
KrazyBee Services Limited,,Portfolio- 7,967.54,2025-12-31,2026-01-06 16:08:35,Completed
KrazyBee Services Limited,,Portfolio- 8,933.64,2025-12-31,2026-01-06 16:08:35,Completed
KrazyBee Services Limited,,Portfolio- 9,337.13,2025-12-31,2026-01-06 16:08:35,Completed
Vaibhav Vyapaar,,Portfolio – 1,11.92,2025-10-31,2026-01-06 16:08:36,Completed
Vaibhav Vyapaar,,Portfolio – 2,3.75,2025-10-31,2026-01-06 16:08:36,Completed
Groww Credit,Lender A,,,,2026-01-06 16:08:37,Partial
Groww Credit,Portfolio A1,,13.94,2025-11-30,2026-01-06 16:08:37,Partial
Uniorbit Technologies Private Limited,RE - 1,Portfolio - 1,35.85,,2026-01-12 04:02:26,Partial
Uniorbit Technologies Private Limited,1,1,35.85,,2026-01-12 04:02:26,Partial
Moneyview Limited,,Partner 1,286.18,,2026-01-12 04:04:38,Partial
