LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
Revfin Services Private Limited,,,72100.0,,2026-01-12 11:15:27,Partial
MyShubhLife,,Portfolio 1,14.9,,2026-01-12 11:15:30,Partial
MyShubhLife,,Portfolio 2,16.96,,2026-01-12 11:15:30,Partial
MyShubhLife,,Grand Total,31.86,,2026-01-12 11:15:30,Partial
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,0.05,,2026-01-12 11:15:36,Partial
Navi Finserv,,1,159.5,,2026-01-12 11:16:02,Partial
Navi Finserv,,1,118.5,,2026-01-12 11:16:02,Partial
Navi Finserv,,1,10.55,2026-01-10,2026-01-12 11:16:02,Partial
Navi Finserv,,3,288.55,,2026-01-12 11:16:02,Partial
Kissht,1,Portfolio 1,167.87,,2026-01-12 11:16:04,Partial
Kissht,2,Portfolio 1,78.58,,2026-01-12 11:16:04,Partial
Kissht,,Portfolio 2,180.47,,2026-01-12 11:16:04,Partial
Kissht,,Portfolio 3,384.21,,2026-01-12 11:16:04,Partial
Kissht,3,Portfolio 1,137.33,,2026-01-12 11:16:04,Partial
Kissht,,Portfolio 2,379.85,,2026-01-12 11:16:04,Partial
Kissht,4,Portfolio 1,0.37,,2026-01-12 11:16:04,Partial
Kissht,4,7,1328.68,,2026-01-12 11:16:04,Partial
OnionLife Private Limited,,Portfolio 1,18.28,,2026-01-12 11:16:05,Partial
OnionLife Private Limited,,Portfolio 2,8.08,,2026-01-12 11:16:05,Partial
OnionLife Private Limited,,Portfolio 3,7.88,,2026-01-12 11:16:05,Partial
OnionLife Private Limited,,Portfolio 4,5.54,,2026-01-12 11:16:05,Partial
OnionLife Private Limited,,Portfolio 5,2.31,,2026-01-12 11:16:05,Partial
OnionLife Private Limited,,Portfolio 6,2.23,,2026-01-12 11:16:05,Partial
OnionLife Private Limited,,Portfolio 7,1.84,,2026-01-12 11:16:05,Partial
OnionLife Private Limited,,Portfolio 8,1.67,,2026-01-12 11:16:05,Partial
OnionLife Private Limited,,Portfolio 9,0.01,,2026-01-12 11:16:05,Partial
OnionLife Private Limited,,Total,47.85,,2026-01-12 11:16:05,Partial
Paisabazaar.com,,,,,2026-01-12 11:16:07,Error
PhonePe,S.No,S.No,,,2026-01-12 11:16:08,Partial
PhonePe,1,1,1.0,2026-01-01,2026-01-12 11:16:08,Partial
PhonePe,2,2,2.0,2026-01-02,2026-01-12 11:16:08,Partial
PhonePe,3,3,3.0,2026-01-03,2026-01-12 11:16:08,Partial
OkCredit,,1,50.4,,2026-01-12 11:16:08,Partial
OkCredit,,2,34.6,,2026-01-12 11:16:08,Partial
OkCredit,,3,33.2,,2026-01-12 11:16:08,Partial
OkCredit,,4*,4.6,,2026-01-12 11:16:08,Partial
True Credits,,Portfolio - 1,1009.2,,2026-01-12 11:16:11,Partial
True Credits,,Portfolio - 2,555.8,,2026-01-12 11:16:11,Partial
True Credits,,Portfolio - 3,390.9,,2026-01-12 11:16:11,Partial
True Credits,,Portfolio - 4,474.8,,2026-01-12 11:16:11,Partial
True Credits,,Portfolio - 5,94.5,,2026-01-12 11:16:11,Partial
True Credits,,Portfolio - 6,36.2,,2026-01-12 11:16:11,Partial
True Credits,,Portfolio - 7,248.0,,2026-01-12 11:16:11,Partial
True Credits,,Portfolio - 8,244.1,,2026-01-12 11:16:11,Partial
True Credits,,Total,3053.5,,2026-01-12 11:16:11,Partial
Uniorbit Payment Solutions Pvt Ltd,RE - 1,Portfolio - 1,35.85,,2026-01-12 11:16:15,Partial
Uniorbit Payment Solutions Pvt Ltd,1,1,35.85,,2026-01-12 11:16:15,Partial
Moneyview Limited,,Partner 1,286.18,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 2,354.29,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 3,1344.26,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 4,823.86,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 5,3362.74,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 6,0.05,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 7,1624.71,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 8,416.92,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 9,323.75,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 10,158.52,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 11,4.45,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 12,948.44,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 13,472.65,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 14,423.03,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 15,26.42,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 16,34.85,,2026-01-12 11:16:21,Partial
Moneyview Limited,,Partner 17,2.61,,2026-01-12 11:16:21,Partial
Bajaj Finserv Direct Limited,,,,,2026-01-12 11:16:22,Error
Nira Finance,,,,,2026-01-12 11:16:22,Error
