LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,16.82,,2026-01-13 10:27:30,Partial
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,179.35,,2026-01-13 10:27:30,Partial
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,88.56,,2026-01-13 10:27:30,Partial
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,0.05,,2026-01-13 10:27:49,Partial
Groww Credit,Lender A,,,,2026-01-13 10:28:05,Partial
Groww Credit,Lender A,Portfolio A1,13.16,2025-12-31,2026-01-13 10:28:05,Partial
Kissht,1,Portfolio 1,167.87,,2026-01-13 10:28:05,Partial
Kissht,2,Portfolio 1,78.58,,2026-01-13 10:28:05,Partial
Kissht,,Portfolio 2,180.47,,2026-01-13 10:28:05,Partial
Kissht,,Portfolio 3,384.21,,2026-01-13 10:28:05,Partial
Kissht,3,Portfolio 1,137.33,,2026-01-13 10:28:05,Partial
Kissht,,Portfolio 2,379.85,,2026-01-13 10:28:05,Partial
Kissht,4,Portfolio 1,0.37,,2026-01-13 10:28:05,Partial
Kissht,4,7,1328.68,,2026-01-13 10:28:05,Partial
KrazyBee Services Limited,,Portfolio- 1,1396.76,2025-12-31,2026-01-13 10:28:07,Completed
KrazyBee Services Limited,,Portfolio- 2,5006.15,2025-12-31,2026-01-13 10:28:07,Completed
KrazyBee Services Limited,,Portfolio- 3,1769.54,2025-12-31,2026-01-13 10:28:07,Completed
KrazyBee Services Limited,,Portfolio- 4,3640.28,2025-12-31,2026-01-13 10:28:07,Completed
KrazyBee Services Limited,,Portfolio- 5,1591.03,2025-12-31,2026-01-13 10:28:07,Completed
KrazyBee Services Limited,,Portfolio- 6,1507.95,2025-12-31,2026-01-13 10:28:07,Completed
KrazyBee Services Limited,,Portfolio- 7,967.54,2025-12-31,2026-01-13 10:28:07,Completed
KrazyBee Services Limited,,Portfolio- 8,933.64,2025-12-31,2026-01-13 10:28:07,Completed
KrazyBee Services Limited,,Portfolio- 9,337.13,2025-12-31,2026-01-13 10:28:07,Completed
Moneyview Limited,,Partner 1,286.18,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 2,354.29,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 3,1344.26,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 4,823.86,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 5,3362.74,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 6,0.05,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 7,1624.71,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 8,416.92,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 9,323.75,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 10,158.52,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 11,4.45,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 12,948.44,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 13,472.65,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 14,423.03,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 15,26.42,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 16,34.85,,2026-01-13 10:28:16,Partial
Moneyview Limited,,Partner 17,2.61,,2026-01-13 10:28:16,Partial
MyShubhLife,,Portfolio 1,14.9,,2026-01-13 10:28:17,Partial
MyShubhLife,,Portfolio 2,16.96,,2026-01-13 10:28:17,Partial
MyShubhLife,,Grand Total,31.86,,2026-01-13 10:28:17,Partial
Navi Finserv,,1,159.5,,2026-01-13 10:28:18,Partial
Navi Finserv,,1,118.5,,2026-01-13 10:28:18,Partial
Navi Finserv,,1,10.55,2026-01-10,2026-01-13 10:28:18,Partial
Navi Finserv,,3,288.55,,2026-01-13 10:28:18,Partial
OkCredit,,1,50.4,,2026-01-13 10:28:19,Partial
OkCredit,,2,34.6,,2026-01-13 10:28:19,Partial
OkCredit,,3,33.2,,2026-01-13 10:28:19,Partial
OkCredit,,4*,4.6,,2026-01-13 10:28:19,Partial
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,,2026-01-13 10:28:20,Partial
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,,2026-01-13 10:28:20,Partial
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,,2026-01-13 10:28:20,Partial
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,,2026-01-13 10:28:20,Partial
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,,2026-01-13 10:28:20,Partial
OnEMI Technlology Solutions Limited,,Portfolio 2,379.85,,2026-01-13 10:28:20,Partial
OnEMI Technlology Solutions Limited,4,Portfolio 1,0.37,,2026-01-13 10:28:20,Partial
OnEMI Technlology Solutions Limited,4,7,1328.68,,2026-01-13 10:28:20,Partial
OnionLife Private Limited,,Portfolio 1,18.28,,2026-01-13 10:28:21,Partial
OnionLife Private Limited,,Portfolio 2,8.08,,2026-01-13 10:28:21,Partial
OnionLife Private Limited,,Portfolio 3,7.88,,2026-01-13 10:28:21,Partial
OnionLife Private Limited,,Portfolio 4,5.54,,2026-01-13 10:28:21,Partial
OnionLife Private Limited,,Portfolio 5,2.31,,2026-01-13 10:28:21,Partial
OnionLife Private Limited,,Portfolio 6,2.23,,2026-01-13 10:28:21,Partial
OnionLife Private Limited,,Portfolio 7,1.84,,2026-01-13 10:28:21,Partial
