LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
ADJ Utility Apps Private Limited,,Partner 1,36.63,2025-12-31,2026-01-14 06:05:07,Completed
ADJ Utility Apps Private Limited,,Partner 2,120.94,2025-12-31,2026-01-14 06:05:07,Completed
ADJ Utility Apps Private Limited,,Partner 3,292.27,2025-12-31,2026-01-14 06:05:07,Completed
ADJ Utility Apps Private Limited,,Partner 4,3.93,2025-12-31,2026-01-14 06:05:07,Completed
ADJ Utility Apps Private Limited,,Partner 5,66.63,2025-12-31,2026-01-14 06:05:07,Completed
ADJ Utility Apps Private Limited,,Partner 6,113.09,2025-12-31,2026-01-14 06:05:07,Completed
ADJ Utility Apps Private Limited,,Partner 7,42.31,2025-12-31,2026-01-14 06:05:07,Completed
ADJ Utility Apps Private Limited,,Partner 8,79.15,2025-12-31,2026-01-14 06:05:07,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,16.82,2025-12-31,2026-01-14 06:05:07,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,179.35,2025-12-31,2026-01-14 06:05:07,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,88.56,2025-12-31,2026-01-14 06:05:07,Completed
CRED,A,A1,98.33,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A2,71.73,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A3,77.09,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A4,111.91,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A5,203.46,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A6,196.54,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A7,253.24,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A8,346.64,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A9,371.83,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A10,465.65,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A11,736.29,2025-12-31,2026-01-14 06:05:14,Completed
CRED,A,A12,979.55,2025-12-31,2026-01-14 06:05:14,Completed
CRED,B,B1,36.57,2025-12-31,2026-01-14 06:05:14,Completed
CRED,C,C1.1,309.96,2025-12-31,2026-01-14 06:05:14,Completed
CRED,C,C2.1,68.64,2025-12-31,2026-01-14 06:05:14,Completed
CRED,C,C2.2,468.67,2025-12-31,2026-01-14 06:05:14,Completed
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,0.05,2023-06-30,2026-01-14 06:05:14,Completed
Flexi Payment,Portfolio 1,Portfolio 1,19.97,2025-05-31,2026-01-14 06:05:18,Completed
Flexi Payment,Portfolio 2,Portfolio 2,3.96,2025-05-31,2026-01-14 06:05:18,Completed
