homepage_url,disclosure_url,status,reason
https://4fin.in/,,Not Found,Not found - Crawled 38 pages; analyzed 684 footer links; found 15 PDFs; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://www.bankbazaar.com/,,Not Found,Not found - Crawled 12 pages; no footer section found; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://getkosh.com/,,Not Found,Not found - Crawled 13 pages; analyzed 17 footer links; found 2 PDFs; evaluated 1 disclosure-related links; best candidate score: 45.0 at https://getkosh.com/dlg... (failed DLG content validation); top candidates: https://getkosh.com/dlg... (score: 45.0); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://www.cashe.co.in/,,Not Found,Not found - Crawled 40 pages; analyzed 5936 footer links; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://www.rapidrupee.in/,,Not Found,Not found - ⚠ Homepage inaccessible or returned empty content; Crawled 1 pages; no footer section found; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
www.agrosperity.com,,Not Found,Not found - Crawled 3 pages; analyzed 5 footer links; found 2 PDFs; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://revfin.in/,https://revfin-documents.s3.ap-south-1.amazonaws.com/dlg-declaration-report/DLG_Declaration.pdf,Found,Found high-scoring link (score: 48.0)
https://www.creditlinks.in/,,Not Found,Not found - Crawled 36 pages; analyzed 405 footer links; found 35 PDFs; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://ayekart.com/,,Not Found,Not found - Crawled 19 pages; analyzed 717 footer links; found 69 PDFs; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
www.buddyloan.com,https://www.buddyloan.com/rbi-retail-direct,Found,Fallback: Found in sitemap.xml
https://carepay.money/,,Not Found,Not found - Crawled 1 pages; no footer section found; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://www.myjar.app/,,Not Found,Not found - Crawled 30 pages; analyzed 630 footer links; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://www.cheq.one/,,Not Found,Not found - Crawled 1 pages; no footer section found; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
http://www.creditt.in/,,Not Found,Not found - Crawled 3 pages; analyzed 29 footer links; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://www.creditas.in/,,Not Found,Not found - Crawled 16 pages; analyzed 22 footer links; found 8 PDFs; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://www.creditsea.com,,Not Found,Not found - Crawled 17 pages; no footer section found; found 6 PDFs; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
www.crif.in,https://www.crif.in/news-and-events/press-releases/crif-receives-the-rbi-license-to-operate-as-nbfc-account-aggregator/,Found,Fallback: Found in sitemap.xml
https://www.myshubhlife.com/,https://docs.google.com/document/u/1/d/e/2PACX-1vSRORcQuv5DWCP4It9dXlHkqFzrLRL2xxIugqkHAsOeZO22Xxvr227MNJ_BWx7mQBVkYj8m8QkT4-Sv/pub,Found,Found high-scoring link (score: 25.0)
https://www.progcap.com/,,Not Found,Not found - Crawled 15 pages; analyzed 1830 footer links; found 16 PDFs; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://cred.club/,https://cred.club/legal/other-disclosures,Found,Found via fast-path probe: /legal/other-disclosures
https://www.getzype.com/,,Not Found,Not found - Crawled 40 pages; analyzed 11680 footer links; no disclosure-related links found (site may use JavaScript navigation or non-standard structure); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
https://fi.money,,Not Found,Not found - Crawled 40 pages; analyzed 51 footer links; evaluated 4 disclosure-related links; best candidate score: 10.0 at https://fi.money/Fi-Secure#responsible-disclosure... (failed DLG content validation); top candidates: https://fi.money/Fi-Secure#responsible-d... (score: 10.0); https://fi.money/Fi-Secure#responsible-d... (score: 10.0); https://fi.money/Fi-Secure#responsible-d... (score: 10.0); Fallback attempts: PDF search: no DLG content in PDFs; sitemap.xml: not found or no relevant URLs; special sections: none found
