lsp_name,disclosure_url,is_active,fetch_hint,parse_hint,rules_json
ADJ Utility Apps Private Limited,https://assets.khatabook.com/dlg-complaince/DLG-disclosure.pdf,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Particulars"", ""amount"": ""AUM as on 31.12.2025"", ""as_on"": {""constant"": ""2025-12-31""}}}"
AKARA CAPITAL ADVISORS PRIVATE LIMITED,https://www.stashfin.com/website-disclosure,TRUE,auto,auto,"{""field_map"":{...}}"
CRED,https://cred.club/legal/other-disclosures,TRUE,auto,auto,"{""field_map"":{...}}"
CreditVidya,https://prefr.com/disclosures,TRUE,auto,auto,"{""field_map"":{...}}"
Fingel Management Services Pvt. Ltd.,https://fingel.in/dlg-disclosure,TRUE,auto,auto,"{""field_map"":{...}}"
Finsall Resources Private Limited,https://www.finsall.com/compliance.html,TRUE,auto,auto,"{""field_map"":{...}}"
Flexi Payment,https://flexipayment.in/wp-content/uploads/2025/07/May2025-Final.pdf,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Regulated Entity (Lender)"", ""amount"": ""Portfolio OS as on 31-05-2025""}}"
GetVantage Tech Private Limited,https://getvantage.co/assets/img/pdf/DLG_Disclosure1.pdf,TRUE,auto,auto,"{""field_map"":{...}}"
Groww Credit,https://credit.groww.in/pages/other-disclosures,TRUE,requests,auto,"{""field_map"":{""amount"":{""keys"":[""Outstanding Amount (Rs. Crores)"",""Outstanding Amount"",""Outstanding AUM"",""Amount""]},""as_on"":{""keys"":[""Date"",""As on"",""As-on"",""As on date""]},""lender"":{""constant"":""Lender A""},""portfolio"":{""keys"":[""Lender A"",""Lender B"",""Lender C"",""Portfolio"",""Portfolio Name""],""regex"":""(Portfolio [A-Za-z0-9]+)"",""group"":1}}}"
Kissht,https://kissht.com/dlg-disclosure,TRUE,auto,auto,"{""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)""}}"
KrazyBee Services Limited,https://s3.ap-south-1.amazonaws.com/uploads.kbnbfc.in/PoliciesAndCodes/DISCLOSURE+UNDER+GUIDELINES+ON+DEFAULT+LOSS+GUARANTEE.pdf,TRUE,auto,auto,"{""field_map"":{...}}"
LoanTap,https://loantap.in/wp-content/uploads/MAS_Disclosure-under-Guidelines-on-Default-Loss-GuaranteeDLG-1-2.pdf,TRUE,auto,auto,"{""field_map"":{...}}"
Moneyview Limited,https://moneyview.in/dlg-disclosure,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (INR in Crores)""}}"
MyShubhLife,https://docs.google.com/document/u/1/d/e/2PACX-1vSRORcQuv5DWCP4It9dXlHkqFzrLRL2xxIugqkHAsOeZO22Xxvr227MNJ_BWx7mQBVkYj8m8QkT4-Sv/pub,TRUE,auto,auto,"{""field_map"":{...}}"
Navi Finserv,https://public-assets.prod.navi-tech.in/navi-website-assests/documents/DLG%20Disclosure%20May%2025_20250609155543.pdf,TRUE,auto,auto,"{""field_map"":{...}}"
Ninjacart Services Private Limited,https://www.ninjacartservices.com/disclosures/,TRUE,auto,auto,"{""field_map"":{...}}"
OkCredit,https://okbz.in/okcredit-public/oktermloan/DLG%20Portfolio%20Disclosure.pdf,TRUE,auto,auto,"{""field_map"":{...}}"
OnEMI Technlology Solutions Limited,https://www.kissht.com/dlg-disclosure,TRUE,auto,auto,"{""field_map"":{...}}"
OnionLife Private Limited,https://karmalife.ai/dlg-disclosure/,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""AUM Details (INR in Cr) - Dec 2025""}}"
Paisabazaar.com,https://www.paisabazaar.com/disclosures,TRUE,playwright,auto,"{""field_map"":{...}}"
PayMe,https://www.paymeindia.in/policy-disclosure,TRUE,auto,auto,"{""field_map"":{...}}"
PhonePe Lending Services Private Limited,https://www.phonepe.com/lending/other-disclosures/,TRUE,auto,auto,"{""field_map"":{...}}"
Resilient Digi Services Pvt. Ltd.,https://bharatpemoney.com/other-disclosures.html,TRUE,auto,auto,"{""field_map"":{...}}"
Revfin Services Private Limited,https://revfin-documents.s3.ap-south-1.amazonaws.com/dlg-declaration-report/DLG_Declaration.pdf,TRUE,auto,auto,"{""field_map"":{...}}"
SaveIN Fintech Pvt Ltd,https://savein.money/terms-of-use/idfc-terms-and-conditions,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""DLG Set"", ""amount"": ""Cohort values under each DLG set (? Crores)""}}"
Si Creva Capital Services Private Limited,https://sicrevacapital.com/dlg-disclosure/,TRUE,auto,auto,"{""field_map"":{...}}"
Smartcoin Financials Private Limited,https://docs.google.com/document/d/e/2PACX-1vQCgML6wUKU_MhuMvAERzMd7T6qtdB1M0tCcQoQqYOz3_zJNeqD6N0HfBnzvEqPmGvK1yIxXUbveeeM/pub,TRUE,auto,auto,"{""field_map"":{...}}"
Spice Money Ltd,https://spicemoney.com/corporate/services,TRUE,auto,auto,"{""field_map"":{...}}"
True Credits,https://www.truecredits.in/dlg-disclosure,TRUE,auto,auto,"{""field_map"":{...}}"
Uniorbit Payment Solutions Pvt Ltd,https://www.uni.cards/dlg-portfolio,TRUE,auto,auto,"{""field_map"":{...}}"
Vaibhav Vyapaar Private Limited (VVPL),https://www.vaibhav-vyapaar.com/assets/PDF/dlg_certificate_october.pdf,TRUE,auto,auto,"{""field_map"":{...}}"
Bajaj Finserv Direct Limited,https://www.bajajfinservmarkets.in/disclosures,TRUE,playwright,auto,"{""field_map"":{...}}"
