lsp_name,disclosure_url,is_active,fetch_hint,parse_hint,rules_json
ADJ Utility Apps Private Limited,https://assets.khatabook.com/dlg-complaince/DLG-disclosure.pdf,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Particulars"", ""amount"": ""AUM as on 31.12.2025"", ""as_on"": {""constant"": ""2025-12-31""}}}"
AKARA CAPITAL ADVISORS PRIVATE LIMITED,https://www.stashfin.com/website-disclosure,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Nos. of Portfolio"", ""amount"": ""Amount (in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
CRED,https://cred.club/legal/other-disclosures,TRUE,auto,plain_text,"{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-12-31""}}}"
CreditVidya,https://prefr.com/disclosures,TRUE,playwright,plain_text,"{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-12-31""}}}"
Fingel Management Services Pvt. Ltd.,https://fingel.in/dlg-disclosure,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in Rs)"", ""as_on"": {""constant"": ""2023-06-30""}}}"
Finsall Resources Private Limited,https://www.finsall.com/compliance.html,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (Rs Crore)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Flexi Payment,https://flexipayment.in/wp-content/uploads/2025/07/May2025-Final.pdf,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Regulated Entity (Lender)"", ""amount"": ""Portfolio OS as on 31-05-2025"", ""as_on"": {""constant"": ""2025-05-31""}}}"
GetVantage Tech Private Limited,https://getvantage.co/assets/img/pdf/DLG_Disclosure1.pdf,TRUE,auto,pdf_table,"{""field_map"": {""portfolio"": {""keys"": [""col_1""], ""regex"": ""Partner_([0-9]+)""}, ""amount"": {""keys"": [""col_2""], ""regex"": ""₹ ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-10-31""}}}"
Groww Credit,https://credit.groww.in/pages/other-disclosures,TRUE,requests,auto,"{""field_map"": {""lender"": {""regex"": ""(Lender [A-Z])""}, ""portfolio"": ""Lender A"", ""amount"": ""Outstanding Amount (Rs. Crores)"", ""as_on"": ""Date""}}"
Kissht,https://kissht.com/dlg-disclosure,TRUE,auto,auto,"{""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}, ""forward_fill"": [""Lender""]}"
KrazyBee Services Limited,https://s3.ap-south-1.amazonaws.com/uploads.kbnbfc.in/PoliciesAndCodes/DISCLOSURE+UNDER+GUIDELINES+ON+DEFAULT+LOSS+GUARANTEE.pdf,TRUE,auto,auto,"{""field_map"":{...}}"
LoanTap,https://loantap.in/wp-content/uploads/MAS_Disclosure-under-Guidelines-on-Default-Loss-GuaranteeDLG-1-2.pdf,TRUE,auto,pdf_table,"{""field_map"": {""portfolio"": ""Name of the Portfolio"", ""amount"": ""Total Amount (Crores)\nof Portfolio."", ""as_on"": {""constant"": ""2025-03-31""}}}"
Moneyview Limited,https://moneyview.in/dlg-disclosure,TRUE,auto,html_table,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (INR in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
