portfolio,amount_crores
Portfolio 1,0.0003
Portfolio 2,0.0019
Portfolio 3,0.0024
Portfolio 4,0.0061
Portfolio 6,0.006
Portfolio 7,0.0105
Portfolio 9,0.016
Portfolio 10,0.0224
Portfolio 11,0.0286
Portfolio 12,0.0201
Portfolio 14,0.028
Portfolio 15,0.0222
Portfolio 16,0.0108
Portfolio 17,0.0288
Portfolio 18,0.0155
Portfolio 19,0.0009
Portfolio 20,0.0084
Portfolio 22,0.0021
Portfolio 24,0.0037
Portfolio 25,0.0056
Portfolio 26,0.0
Portfolio 27,0.0153
Portfolio 28,0.0248
Portfolio 30,0.0211
Portfolio 31,0.0079
Portfolio 32,0.0276
Portfolio 33,0.0517
Portfolio 35,0.0886
Portfolio 36,0.1261
Portfolio 38,0.1409
Portfolio 39,0.1121
Portfolio 40,0.1501
Portfolio 41,0.1775
Portfolio 44,0.2522
Portfolio 45,0.2818
Portfolio 46,0.3127
Portfolio 47,0.3379
Portfolio 49,0.3454
Portfolio 51,0.392
Portfolio 52,0.3662
Portfolio 54,0.445
Portfolio 55,0.4348
Portfolio 56,0.4968
Portfolio 57,0.5875
Portfolio 59,0.7039
Portfolio 60,0.7375
Portfolio 61,0.8326
Portfolio 62,0.5253
Portfolio 64,0.4008
Portfolio 65,0.4154
Portfolio 66,0.4861
Portfolio 67,0.5529
Portfolio 69,0.8747
Portfolio 70,1.1294
Portfolio 71,1.0176
Portfolio 72,0.9347
Portfolio 74,0.0001
Portfolio 75,0.8056
Portfolio 76,0.8707
Portfolio 77,0.2145
Portfolio 79,0.2581
Portfolio 80,0.0967
Portfolio 81,0.05
Portfolio 82,0.0064
