name,home_url,active,dlg_url,parse_hint,fetch_hint,rules_json,last_crawl_date
AKARA CAPITAL ADVISORS PRIVATE LIMITED,www.stashfin.com/website-disclosure,1,www.stashfin.com/website-disclosure,auto,auto,"'{""field_map"": {""portfolio"": ""Nos. of Portfolio"", ""amount"": ""Amount (in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
CRED,cred.club/legal/other-disclosures,1,cred.club/legal/other-disclosures,plain_text,auto,"'{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-12-31""}}}'",
CreditVidya,prefr.com/disclosures,1,prefr.com/disclosures,plain_text,playwright,"'{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-12-31""}}}'",
Fingel Management Services Pvt. Ltd.,fingel.in/dlg-disclosure,1,fingel.in/dlg-disclosure,auto,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in Rs)"", ""as_on"": {""constant"": ""2023-06-30""}}}'",
Finsall Resources Private Limited,www.finsall.com/compliance.html,1,www.finsall.com/compliance.html,auto,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (Rs Crore)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
Flexi Payment,flexipayment.in/wp-content/uploads/2025/07/May2025-Final.pdf,1,flexipayment.in/wp-content/uploads/2025/07/May2025-Final.pdf,auto,auto,"'{""field_map"": {""portfolio"": ""Regulated Entity (Lender)"", ""amount"": ""Portfolio OS as on 31-05-2025"", ""as_on"": {""constant"": ""2025-05-31""}}}'",
GetVantage Tech Private Limited,getvantage.co/assets/img/pdf/DLG_Disclosure1.pdf,1,getvantage.co/assets/img/pdf/DLG_Disclosure1.pdf,pdf_table,auto,"'{""field_map"": {""portfolio"": {""keys"": [""col_1""], ""regex"": ""Partner_([0-9]+)""}, ""amount"": {""keys"": [""col_2""], ""regex"": ""₹ ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-10-31""}}}'",
Groww Credit,credit.groww.in/pages/other-disclosures,1,credit.groww.in/pages/other-disclosures,auto,requests,"'{""field_map"": {""lender"": {""regex"": ""(Lender [A-Z])""}, ""portfolio"": ""Lender A"", ""amount"": ""Outstanding Amount (Rs. Crores)"", ""as_on"": ""Date""}}'",
Kissht,kissht.com/dlg-disclosure,1,kissht.com/dlg-disclosure,auto,auto,"'{""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}, ""forward_fill"": [""Lender""]}'",
KrazyBee Services Limited,s3.ap-south-1.amazonaws.com/uploads.kbnbfc.in/PoliciesAndCodes/DISCLOSURE+UNDER+GUIDELINES+ON+DEFAULT+LOSS+GUARANTEE.pdf,1,s3.ap-south-1.amazonaws.com/uploads.kbnbfc.in/PoliciesAndCodes/DISCLOSURE+UNDER+GUIDELINES+ON+DEFAULT+LOSS+GUARANTEE.pdf,auto,auto,"'{""field_map"": {}}'",
