name	home_url	active	dlg_url	parse_hint	fetch_hint	rules_json
?ADJ Utility Apps Private Limited	https://khatabook.com	TRUE	https://assets.khatabook.com/dlg-complaince/DLG-disclosure.pdf	auto	auto	"{""field_map"": {""portfolio"": ""Particulars"", ""amount"": ""AUM as on 31.12.2025"", ""as_on"": {""constant"": ""2025-12-31""}}}"
AKARA CAPITAL ADVISORS PRIVATE LIMITED	https://www.stashfin.com/	TRUE	https://www.stashfin.com/website-disclosure	auto	auto	"{""field_map"": {""portfolio"": ""Nos. of Portfolio"", ""amount"": ""Amount (in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
CRED	https://cred.club/	TRUE	https://cred.club/legal/other-disclosures	plain_text	auto	"{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-12-31""}}}"
CreditVidya	https://prefr.com	TRUE	https://prefr.com/disclosures	plain_text	playwright	"{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-12-31""}}}"
Fingel Management Services Pvt. Ltd.	https://fingel.in	TRUE	https://fingel.in/dlg-disclosure	auto	auto	"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in Rs)"", ""as_on"": {""constant"": ""2023-06-30""}}}"
Finsall Resources Private Limited	https://www.finsall.com	TRUE	https://finsall.s3.ap-south-1.amazonaws.com/files/dlg/dlg.pdf	pdf_table	auto	"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (Rs Crore)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Flexi Payment	https://www.flexipayment.in	TRUE	https://flexipayment.in/wp-content/uploads/2025/07/May2025-Final.pdf	auto	auto	"{""field_map"": {""portfolio"": ""Regulated Entity (Lender)"", ""amount"": ""Portfolio OS as on 31-05-2025"", ""as_on"": {""constant"": ""2025-05-31""}}}"
GetVantage Tech Private Limited	https://getvantage.co	TRUE	https://getvantage.co/assets/img/pdf/DLG_Disclosure1.pdf	pdf_table	auto	"{""field_map"": {""portfolio"": {""keys"": [""col_1""], ""regex"": ""Partner_([0-9]+)""}, ""amount"": {""keys"": [""col_2""], ""regex"": ""? ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-10-31""}}}"
Groww Credit	https://credit.groww.in	TRUE	https://credit.groww.in/pages/other-disclosures	auto	requests	"{""field_map"": {""lender"": {""regex"": ""(Lender [A-Z])""}, ""portfolio"": ""Lender A"", ""amount"": ""Outstanding Amount (Rs. Crores)"", ""as_on"": ""Date""}}"
Kissht	https://kissht.com	TRUE	https://kissht.com/dlg-disclosure	auto	auto	"{""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}, ""forward_fill"": [""Lender""]}"
KrazyBee Services Limited	https://www.kbnbfc.in/	TRUE	https://s3.ap-south-1.amazonaws.com/uploads.kbnbfc.in/PoliciesAndCodes/DISCLOSURE+UNDER+GUIDELINES+ON+DEFAULT+LOSS+GUARANTEE.pdf	auto	auto	"{""field_map"": {}}"
LoanTap	https://loantap.in/	TRUE	https://loantap.in/wp-content/uploads/MAS_Disclosure-under-Guidelines-on-Default-Loss-GuaranteeDLG-1-2.pdf	pdf_table	auto	"{""field_map"": {""portfolio"": ""Name of the Portfolio"", ""amount"": ""Total Amount (Crores)\nof Portfolio."", ""as_on"": {""constant"": ""2025-03-31""}}}"
Moneyview Limited	https://moneyview.in/	TRUE	https://moneyview.in/dlg-disclosure	html_table	auto	"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (INR in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
MyShubhLife	https://www.myshubhlife.com/	TRUE	https://docs.google.com/document/u/1/d/e/2PACX-1vSRORcQuv5DWCP4It9dXlHkqFzrLRL2xxIugqkHAsOeZO22Xxvr227MNJ_BWx7mQBVkYj8m8QkT4-Sv/pub	auto	auto	"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ? Cr)"", ""as_on"": {""constant"": ""2024-03-31""}}}"
Navi Finserv	https://navi.com/	TRUE	https://public-assets.prod.navi-tech.in/navi-website-assests/documents/DLG%20Disclosure%20May%2025_20250609155543.pdf	pdf_table	auto	"{""field_map"": {""portfolio"": {""keys"": [""Sr.\nN0.""], ""regex"": ""([a-z])\\)""}, ""amount"": ""Outstanding portfolio amount on which DLG\nhas been offered as on 31 May 2025"", ""as_on"": {""constant"": ""2025-05-31""}}}"
Ninjacart Services Private Limited	https://www.ninjacartservices.com	TRUE	https://www.ninjacartservices.com/disclosures/	html_table	auto	"{""field_map"": {""lender"": ""RE No."", ""portfolio"": ""Name of Portfolio serviced by the LSP with RE"", ""amount"": ""Total amount approved for the above Portfolio (INR)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
OkCredit	https://okcredit.com/	TRUE	https://okbz.in/okcredit-public/oktermloan/DLG%20Portfolio%20Disclosure.pdf	auto	auto	"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in ? Cr)"", ""as_on"": {""constant"": ""2025-01-01""}}}"
OnionLife Private Limited	https://karmalife.ai/	TRUE	https://karmalife.ai/dlg-disclosure/	auto	auto	"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""AUM Details (INR in Cr) - Dec 2025"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Paisabazaar.com	https://www.paisabazaar.com/	TRUE	https://www.paisabazaar.com/disclosures	plain_text	playwright	"{""field_map"": {""lender"": {""regex"": ""(Lender [A-Z])""}, ""portfolio"": {""regex"": ""(Portfolio [A-Z0-9]+):""}, ""amount"": {""regex"": ""INR ([0-9.]+) crore""}, ""as_on"": {""constant"": ""2025-12-31""}}}"
PhonePe Lending Services Private Limited	https://www.phonepe.com	TRUE	https://www.phonepe.com/lending/other-disclosures/	auto	playwright	"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (INR in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Resilient Digi Services Pvt. Ltd.	https://bharatpemoney.com	TRUE	https://bharatpemoney.com/documents/DLG-Disclosure_Dec25.pdf	pdf_table	auto	"{""field_map"": {""portfolio"": {""keys"": [""Portfolio AUM (in INR Cr) as on 31st\nDecember 2025"", ""col_0""], ""regex"": ""(Portfolio [0-9]+\\.[0-9]+)""}, ""amount"": {""keys"": [""Portfolio AUM (in INR Cr) as on 31st\nDecember 2025"", ""col_0""], ""regex"": ""\\.[0-9]+[\\s\\n]+([0-9]+(?:\\.[0-9]+)?)""}, ""as_on"": {""constant"": ""2025-12-31""}}}"
Revfin Services Private Limited	https://revfin.in/	TRUE	https://revfin-documents.s3.ap-south-1.amazonaws.com/dlg-declaration-report/DLG_Declaration.pdf	ocr_simple	auto	"{""field_map"": {""as_on"": {""constant"": ""2025-12-31""}}, ""ocr"": {""method"": ""simple"", ""resolution"": 320, ""min_conf"": 20, ""slice_count"": 23, ""crop_top_pct"": 6, ""crop_bottom_pct"": 95, ""amount_unit"": ""rupees""}}"
Shuhari Tech Ventures Private Limited	http://www.nirafinance.com/	TRUE	https://www.nirafinance.com/dlg-disclosure	ocr_simple	auto	"{""field_map"": {""as_on"": {""constant"": ""2025-12-31""}}, ""ocr"": {""method"": ""simple"", ""resolution"": 420, ""min_conf"": 30, ""slice_count"": 4, ""crop_top_pct"": 15, ""crop_bottom_pct"": 85, ""amount_unit"": ""crore"", ""render_pdf"": true, ""render_timeout_ms"": 45000, ""render_wait_ms"": 2000, ""render_wait_until"": ""load""}}"
SaveIN Fintech Pvt Ltd	https://savein.money/	TRUE	https://savein.money/terms-of-use/idfc-terms-and-conditions	auto	playwright	"{""pre_click_js"": ""const buttons = Array.from(document.querySelectorAll('button')); const lastMonthButton = buttons.filter(b => b.textContent.trim().match(/^(January|February|March|April|May|June|July|August|September|October|November|December) \\d{4}$/)).pop(); if (lastMonthButton) lastMonthButton.click();"", ""field_map"": {""portfolio"": ""DLG Set"", ""amount"": ""Cohort values under each DLG set (? Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Si Creva Capital Services Private Limited	https://sicrevacapital.com	TRUE	https://sicrevacapital.com/dlg-disclosure/	auto	auto	"{""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Smartcoin Financials Private Limited	https://www.olyv.co.in/	TRUE	https://docs.google.com/document/d/e/2PACX-1vQCgML6wUKU_MhuMvAERzMd7T6qtdB1M0tCcQoQqYOz3_zJNeqD6N0HfBnzvEqPmGvK1yIxXUbveeeM/pub	auto	auto	"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ? Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Spice Money Ltd	https://spicemoney.com	TRUE	https://spicemoney.com/corporate/services	html_table	playwright	"{""pre_click_js"": ""const clickMatch = (selectors, predicate) => { for (const sel of selectors) { const el = Array.from(document.querySelectorAll(sel)).find(predicate); if (el) { el.click(); return true; } } return false; }; clickMatch(['button','a','div'], el => el.textContent && el.textContent.trim().toLowerCase() === 'credit'); setTimeout(() => { clickMatch(['button','a','div'], el => el.textContent && el.textContent.trim().toLowerCase().includes('dlg disclosure')); }, 500);"", ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ? Cr)*"", ""as_on"": {""constant"": ""2025-12-31""}}}"
True Credits	https://www.truecredits.in/	TRUE	https://www.truecredits.in/dlg-disclosure	auto	auto	"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount(In Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Uniorbit Payment Solutions Pvt Ltd	https://www.uni.cards/	TRUE	https://www.uni.cards/dlg-portfolio	html_table	playwright	"{""field_map"": {""lender"": ""Total No of Lenders"", ""portfolio"": ""Total No of DLG Portfolios"", ""amount"": ""Amount (? in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Vaibhav Vyapaar Private Limited (VVPL)	https://www.vaibhav-vyapaar.com	TRUE	https://www.vaibhav-vyapaar.com/assets/PDF/dlg_certificate_october.pdf	pdf_table	auto	"{""field_map"": {""portfolio"": ""Nos. of Portfolio"", ""amount"": ""Amount (in Crores)"", ""as_on"": {""constant"": ""2025-10-31""}}}"
Bajaj Finserv Direct Limited	https://www.bajajfinservmarkets.in/	TRUE	https://www.bajajfinservmarkets.in/disclosures	auto	auto	"{""field_map"": {""lender"": ""Regulated Entity"", ""portfolio"": ""Business Segment"", ""amount"": ""Portfolio Value (?)*"", ""as_on"": {""constant"": ""2025-12-31""}}}"
FinAGG Services Private Limited	https://finagg.in/	TRUE	https://portal.finagg.in/banner/finagg/DLG.pdf	auto	auto	"{""field_map"": {""portfolio"": ""Regulated Entity (Lender)"", ""amount"": ""Portfolio OS as on 31-12-2025"", ""as_on"": {""constant"": ""2025-12-31""}}}"
