name,home_url,active,dlg_url,parse_hint,fetch_hint,rules_json
?ADJ Utility Apps Private Limited,https://khatabook.com,TRUE,https://assets.khatabook.com/dlg-complaince/DLG-disclosure.pdf,auto,auto,"{""field_map"": {""portfolio"": ""Particulars"", ""amount"": {""regex"": ""AUM as on""}, ""as_on"": {""extract_regex"": ""as on ([0-9]{1,2}\\.[0-9]{1,2}\\.[0-9]{4})"", ""extract_from"": ""amount_column"", ""date_format"": ""DD.MM.YYYY"", ""fallback"": ""previous_month_end""}}}"
AKARA CAPITAL ADVISORS PRIVATE LIMITED,https://www.stashfin.com/,TRUE,https://www.stashfin.com/website-disclosure,auto,auto,"{""field_map"": {""portfolio"": ""Nos. of Portfolio"", ""amount"": ""Amount (in Crores)"", ""as_on"": {""fallback"": ""previous_month_end""}}}"
CRED,https://cred.club/,TRUE,https://cred.club/legal/other-disclosures,plain_text,auto,"{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""regex"": ""as on ([A-Za-z]+ [0-9]{1,2}, [0-9]{4})""}}}"
CreditVidya,https://prefr.com,TRUE,https://prefr.com/disclosures,plain_text,playwright,"{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""regex"": ""as on ([A-Za-z]+ [0-9]{1,2}, [0-9]{4})""}}}"
Fingel Management Services Pvt. Ltd.,https://fingel.in,TRUE,https://fingel.in/dlg-disclosure,auto,auto,"{""page_level"": {""as_on_regex"": ""as on ([0-9]{1,2}(?:st|nd|rd|th) [A-Za-z]+, [0-9]{4})""}, ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in Rs)""}}"
Finsall Resources Private Limited,https://www.finsall.com,TRUE,https://finsall.s3.ap-south-1.amazonaws.com/files/dlg/dlg.pdf,pdf_table,auto,"{""field_map"": {""lender"": ""col_1"", ""amount"": ""col_3"", ""as_on"": {""fallback"": ""previous_month_end""}}}"
Flexi Payment,https://www.flexipayment.in,TRUE,https://flexipayment.in/wp-content/uploads/2025/07/May2025-Final.pdf,auto,auto,"{""field_map"": {""portfolio"": ""Regulated Entity (Lender)"", ""amount"": {""regex"": ""Portfolio OS as on""}, ""as_on"": {""extract_regex"": ""as on ([0-9]{1,2}-[0-9]{1,2}-[0-9]{4})"", ""extract_from"": ""amount_column"", ""date_format"": ""DD-MM-YYYY"", ""fallback"": ""previous_month_end""}}}"
GetVantage Tech Private Limited,https://getvantage.co,TRUE,https://getvantage.co/assets/img/pdf/DLG_Disclosure1.pdf,pdf_table,auto,"{""field_map"": {""portfolio"": {""keys"": [""col_1""], ""regex"": ""Partner_([0-9]+)""}, ""amount"": {""keys"": [""col_2""], ""regex"": ""[₹?]\\s*([0-9.]+)""}}}"
Groww Credit,https://credit.groww.in,TRUE,https://credit.groww.in/pages/other-disclosures,auto,requests,"{""field_map"": {""lender"": {""regex"": ""(Lender [A-Z])""}, ""portfolio"": ""Lender A"", ""amount"": ""Outstanding Amount (Rs. Crores)"", ""as_on"": ""Date""}}"
Kissht,https://kissht.com,TRUE,https://kissht.com/dlg-disclosure,auto,auto,"{""page_level"": {""as_on_regex"": ""as on ([0-9]{1,2}(?:st|nd|rd|th) [A-Za-z]+, [0-9]{4})""}, ""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)""}, ""forward_fill"": [""Lender""]}"
